Repo Name,PRs Opened (<30 days),PRs Opened Int (<30 days),PRs Opened Ext (<30 days),PRs Opened FTC (<30 days),PRs Merged (<30 days),PR turnaround time (<30 days),PRs Closed (<30 days),PRs Open (all time),PRs Merged (all time),PRs Closed (all time),PR turnaround time (all time),Total PRs (all time),Total PRs Int (all time),Total PRs Ext (all time),Issues Opened (<30 days),Issues Opened Int (<30 days),Issues Opened Ext (<30 days),Issues Opened FTC (<30 days),Issues Closed (<30 days),Total Issues (all time),Total Issues Int (all time),Total Issues Ext (all time),Open Issues (all time),Stale Issues (>14),% Stale Issues (all time),Old Issues (>120),% Old Issues (all time),% Issues Closed by PR (all time),Average Issue open days (all time),Contributors (<30 days),Contributors Int (<30 days),Contributors Ext (<30 days),Contributors FTC (<30 days),Contributors (all time),Contributors Int (all time),Contributors Ext (all time),Stars (all time),Watches (all time),Forks (all time)
locomotion,0,0,0,0,0,N/A,0,0,39,14,0,53,53,0,0,0,0,0,0,41,39,2,17,15,88%,16,94%,8%,6,0,0,0,0,10,8,2,5,2,5
opensim-core,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,4,0,1
move,0,0,0,0,0,N/A,0,0,22,0,0,22,22,0,0,0,0,0,0,6,6,0,4,1,25%,4,100%,0%,63,0,0,0,0,7,7,0,31,5,29
carla_cpp,0,0,0,0,0,N/A,0,0,0,2,N/A,2,1,1,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,2,1,1,0,0,4
carla,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0
engine,0,0,0,0,0,N/A,0,0,8,0,0,8,8,0,2,2,0,0,0,15,15,0,12,8,67%,10,83%,0%,3,1,1,0,0,1,1,0,19,9,12
air_doc,0,0,0,0,0,N/A,0,0,11,3,0,14,11,3,0,0,0,0,0,22,20,2,18,17,94%,17,94%,50%,17,0,0,0,0,11,8,3,34,3,22
DReyeVR-with-Haptic-shared-Control,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0
ProjectAirSim,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0
CILv2_multiview,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0
air,0,0,0,0,0,N/A,0,0,9,3,1,12,12,0,0,0,0,0,0,22,22,0,20,19,95%,14,70%,0%,0,0,0,0,0,4,4,0,18,4,12
myo,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,2
myochallenge_2025eval,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0
loco-mujoco,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0
robot4elder,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,8,8,0,8,8,100%,8,100%,N/A,N/A,0,0,0,0,1,1,0,0,0,0
kuavo_ros,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0
req,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,1,1,0,0,0,32,32,0,32,22,69%,28,88%,N/A,N/A,1,1,0,0,1,1,0,0,0,0
cpp,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,3,0,1
Content,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,1,1,0,1,1,100%,1,100%,N/A,N/A,0,0,0,0,1,1,0,0,0,0
mujoco,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0
3d,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,4,4,0,3,3,100%,3,100%,0%,4,0,0,0,0,1,1,0,0,0,0
template,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0
action_test,0,0,0,0,0,N/A,0,1,0,12,N/A,13,13,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,1,1,0,0,0,1
index,0,0,0,0,0,N/A,0,0,2,0,0,2,2,0,0,0,0,0,0,2,2,0,1,1,100%,0,0%,0%,2,0,0,0,0,2,2,0,4,0,2
cesium,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,1,0,0
classroom,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,1,1,0,1,1,100%,0,0%,N/A,N/A,0,0,0,0,1,1,0,0,0,0
UnrealRoboticsLab,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0
DynSyn,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0
TOTAL,1044,1023,21,19,637,13,368,66,7587,4175,0,11839,9948,1880,119,106,13,0,31,1499,1380,117,648,439,68%,368,57%,3%,49,130,121,12,4,765,561,232,1536,182,1471
